ID,Category,Software Component,Title,Decision,Reason
2,Added,Placeholder,ProActive (AppManager) vers. 1.4.*,excluded,"internal plumbing, infrastructure, or not customer-visible"
4,Improved,Placeholder,License Generator adjustments,excluded,"internal plumbing, infrastructure, or not customer-visible"
19154,Added,Cloud Broker,Cloud Broker: Support Adobe Cloud,already published,item already appears in static/release-notes JSON changelogs
29622,Fixed,OpenLM Server,Server: Email password is readable in olm_config table,parked,awaiting placement (navigation page decision / legacy-slm version / cross-service item)
30294,Added,OpenLM Server,Infrastructure - Create a Nuget library to decrypt connection string password,excluded,"CI/CD, build, and deployment work"
30427,Improved,DB Configuration Tool,DB Configuration Tool - change form size to fit the window size,published in changelog,customer-facing change
30458,Improved,DB Configuration Tool,DB: DB Configuration Tool: Change setup flow and UI,published in changelog,customer-facing change
30872,Improved,ci-cd,adjust/migrate to yml server,excluded,"CI/CD, build, and deployment work"
31736,Added,End-User Services,End-User Services - Add API for Usage by projects,already published,item already appears in static/release-notes JSON changelogs
34772,Improved,Machine Learning,ML: Machine Learning system Azure pipelines,excluded,"CI/CD, build, and deployment work"
34818,Added,Machine Learning,ML: Implement other improvements related to deployment on Azure pipelines,excluded,"CI/CD, build, and deployment work"
35189,Fixed,DB Upgrade Tool,Server: MSSQL: Upgrade failed to version 21 - error occurred during the pre-login handshake,published in changelog,customer-facing change
35560,Added,Machine Learning,MLS: Implement mechanisms to store pickle file model only to AWS S3 Bucket,excluded,"internal plumbing, infrastructure, or not customer-visible"
35561,Added,Machine Learning,MLS: Implement better more logging for MLS and add profile for Cloud EU,excluded,"internal plumbing, infrastructure, or not customer-visible"
36128,Added,Machine Learning,MLS: Change MLS configs for new AWS configs and Kafka servers and test MLS,excluded,"tests, QA, and security scanning"
36588,Fixed,Identity Service Installer,Identity Service installer crashes,already published,item already appears in static/release-notes JSON changelogs
41709,Improved,Agent,Agent: Automatic Agent update feature,already published,item already appears in static/release-notes JSON changelogs
42528,Added,DB Configuration Tool,Db Config Tool - new user interface that can run on docker,published in changelog,customer-facing change
43395,Improved,Notification Service,[NS UI]: [Send Sample Push Notification] button,published in changelog,customer-facing change
45125,Added,Notification Service,K8s: Notification Service UI: Multiple push notification subscribers per app implementation,published in changelog,customer-facing change
45757,Added,CI/CD,Create CI/CD for DbConfigurationTool,excluded,"CI/CD, build, and deployment work"
48606,Added,CI/CD,Migrate DBConfigurationtoolUI to new ansible implementation,excluded,"CI/CD, build, and deployment work"
48960,Added,Machine Learning,"Machine Learning: Implement base architecture, structure and logic of layers and modules of ML Data Collection Service",excluded,"internal plumbing, infrastructure, or not customer-visible"
48961,Added,Machine Learning,Machine Learning: Implement Kafka Module of ML Data Collection Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
48962,Added,Machine Learning,Machine Learning: Implement MongoDB Temp License Usage Storage Module of ML Data Collection Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
48963,Added,Machine Learning,Machine Learning: Implement Training Scheduled Job Module of ML Data Collection Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
48964,Added,Machine Learning,"Machine Learning: Implement base architecture, structure and logic of layers and modules of ML Prediction Service",excluded,"internal plumbing, infrastructure, or not customer-visible"
48965,Added,Machine Learning,Machine Learning: Implement Get prediction using scripts module of ML Prediction Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
48966,Added,Machine Learning,Machine Learning: Implement License Usage API Controller with APIs module of ML Prediction Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
49349,Added,Machine Learning,Machine Learning: Implement logic of preparation of data for training scripts of ML Data Collection Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
49350,Added,Machine Learning,Machine Learning: Implement User Availability Validating Module of ML Prediction Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
49883,Added,Machine Learning,Machine Learning: Implement configuration and logic to deploy service to k8s for MLDataCollectionService,excluded,"internal plumbing, infrastructure, or not customer-visible"
50542,Added,Reporting Hub BI,Implement REST API to check a website is enterprise service related or not.,excluded,"internal plumbing, infrastructure, or not customer-visible"
50571,Added,Machine Learning,Machine Learning: Implement pipelines and configuration for k8s for the service,excluded,"CI/CD, build, and deployment work"
50617,Improved,CI/CD,MLPredictionService,excluded,"CI/CD, build, and deployment work"
50641,Improved,API Gateway,Install TYK API gateway in dev-k8s environment,excluded,"CI/CD, build, and deployment work"
