"file","suggested_title","h1_in_body","filename_guess"
"docs/cloud/vlm.md","Virtual License Manager (VLM)","Virtual License Manager (VLM)","Vlm"
"docs/cloud/glossary.md","Glossary","Glossary","Glossary"
"docs/cloud/dongle-monitoring.md","Dongle Monitoring","Dongle Monitoring","Dongle Monitoring"
"docs/cloud/sam.md","Software Asset Management (SAM)","Software Asset Management (SAM)","Sam"
"docs/cloud/service-index.md","Service index","Service index","Service Index"
"docs/cloud/compliance.md","Compliance","Compliance","Compliance"
"docs/cloud/reporting/ui-reports/process-sessions.md","Process Sessions","Process Sessions","Process Sessions"
"docs/cloud/reporting/ui-reports/denials.md","Denials","Denials","Denials"
"docs/cloud/reporting/ui-reports/touch-point-events.md","Touch Points Events","Touch Points Events","Touch Point Events"
"docs/cloud/reporting/bi-reports/basic-reports/denial-analysis/denials-details-table.md","Denials","Denials","Denials Details Table"
"docs/cloud/reporting/bi-reports/basic-reports/executive-summary/host-availability.md","Host Availability","Host Availability","Host Availability"
"docs/cloud/reporting/bi-reports/basic-reports/executive-summary/active-user-report.md","Active Users","Active Users","Active User Report"
"docs/cloud/reporting/bi-reports/basic-reports/license-management/license-activity.md","License Activity","License Activity","License Activity"
"docs/cloud/reporting/bi-reports/basic-reports/token-management/token-activity.md","Token Activity","Token Activity","Token Activity"
"docs/cloud/reporting/bi-reports/basic-reports/token-management/token-usage.md","Token Usage","Token Usage","Token Usage"
"docs/cloud/reporting/bi-reports/basic-reports/feature-insights/session-details.md","Session Details","Session Details","Session Details"
"docs/cloud/reporting/bi-reports/basic-reports/system-monitoring/dongle-monitoring.md","Dongle Monitoring","Dongle Monitoring","Dongle Monitoring"
"docs/cloud/reporting/bi-reports/basic-reports/system-monitoring/process-session.md","Process Session","Process Session","Process Session"
"docs/cloud/reporting/bi-reports/basic-reports/system-monitoring/touch-point-events.md","Touch-Point Events","Touch-Point Events","Touch Point Events"
"docs/cloud/data-collection/agent_activity_manager.md","Agent Activity Manager","Agent Activity Manager","Agent Activity Manager"
"docs/cloud/data-collection/broker-hub.md","Broker Hub","Broker Hub","Broker Hub"
"docs/cloud/data-collection/agents_hub.md","Agents Hub","Agents Hub","Agents Hub"
"docs/cloud/data-collection/cloud-broker.mdx","Cloud Broker","Cloud Broker","Cloud Broker"
"docs/cloud/slm/license-allocations.md","License Allocations","License Allocations","License Allocations"
"docs/cloud/slm/licenses.md","Licenses","Licenses","Licenses"
"docs/cloud/slm/license-servers.md","License Servers","License Servers","License Servers"
"docs/cloud/openlm-administration/license-manager.mdx","OpenLM License Manager","OpenLM License Manager","License Manager"
"docs/cloud/openlm-administration/ui-configuration.md","UI Configuration","UI Configuration","Ui Configuration"
"docs/cloud/openlm-administration/database-configuration-tool.md","Database Configuration Tool","Database Configuration Tool","Database Configuration Tool"
"docs/cloud/openlm-administration/audit.md","Audit","Audit","Audit"
"docs/cloud/openlm-administration/products.md","Products","Products","Products"
"docs/cloud/openlm-administration/identity.mdx","Identity","Identity","Identity"
"docs/cloud/users/directory-sync.mdx","Directory Synchronization Service (DSS)","Directory Synchronization Service (DSS)","Directory Sync"
"docs/cloud/api/overview.md","GraphQL API overview","GraphQL API overview","Overview"
"docs/cloud/api/reporting-api.md","Reporting API","Reporting API","Reporting Api"
"docs/cloud/api/services-reference.md","Services reference","Services reference","Services Reference"
"docs/cloud/automations/notifications.md","Notifications","Notifications","Notifications"
"docs/cloud/automations/process-manager.md","Process Manager","Process Manager","Process Manager"
"docs/cloud/automations/alerts.md","OpenLM Alerts","OpenLM Alerts","Alerts"
"docs/cloud/deployment-operations/components-installation.mdx","Install and configure OpenLM Components","Install and configure OpenLM Components","Components Installation"
