ticket,export_heading,ado_title,ado_type,shipped_deploy,decision,target_file,wording_change,reason_notes
73177,Agent,Dongle/process usage missing from monitoring,Bug,prod (Apr),ALREADY-PUBLISHED,agent.json v26.4.27-759 (fixed),no,Same ticket/fix already in agent.json. Skipped.
41709,Agent,Automatic Agent update feature,Feature,prod 18 May,HOLD-FLAG,(not added),-,Auto-update; agent.json uses build numbers & agents-hub has no 06.26 block; likely overlaps published #61308 'automatic mass update mechanism'. Needs your call on placement.
57021,Agent,No project notifications when disabled,Improvement,prod (Apr),ALREADY-PUBLISHED,agent.json v26.4.27-759 (improved),no,Same ticket/fix already in agent.json. Skipped.
65425,Agents Hub,Non-positive cache expiration error,Bug,prod 18 May,ALREADY-PUBLISHED,agents-hub.json 01.26 (fixed),n/a,"Already published (reworded to drop internal jargon, as recommended)."
68738,Agents Hub,Fault-isolated agent data handlers,User Story,prod 18 May,ALREADY-PUBLISHED,agents-hub.json 04.26 (improved),n/a,"Already published, framed by customer impact. (Was my borderline-refactor flag; moot.)"
64200,Audit Service,"Audit = system product, default-on",User Story,PR Aug'25; rolled to prod,PUBLISHED-NEW,audit.json 06.26 (improved),reworded,"Audit now active by default, Cloud+OnPrem."
74961,Cloud Resource Manager,SQL views for CRM/BI,User Story,prod_eu,DROP-INTERNAL,(none),-,ETL/data-plumbing: SQL views feeding internal BI/QuickSight. No customer surface. Per your data-plumbing rule.
72599,End-User Services -> ProductsService,Downloads page (Platform/Legacy),User Story,prod 26 May / 17 Jun,PUBLISHED-NEW,products.json (added),reworded,"REMAPPED: tagged Product:ProductsService (team=EUS). Belongs in Products, not EUS."
72601,End-User Services -> ProductsService,Integrations page,User Story,prod 26 May / 17 Jun,PUBLISHED-NEW,products.json (added),reworded,REMAPPED: ProductsService. Full migration w/ activation (not read-only).
74077,Identity Service,Load saved UI prefs at sign-in,User Story,prod 14-23 Jun,PUBLISHED-NEW,identity.json 06.26 (improved),reworded,Server UIs apply saved date/number/timezone prefs.
74179,License Management -> Denials,Cloud not recording denials,Bug,prod_eu ~23 Jun,PUBLISHED-NEW,denials.json 06.26 (fixed),reworded,REMAPPED to Denials. FlexLM timestamp-parse regression; verified fixed (dup #72580). Real prospect bug.
74365,License Management -> Reporting,NX-SEG records missing fields,Bug,prod_eu ~23 Jun,PUBLISHED-NEW,reporting.json 06.26 (fixed),reworded,REMAPPED to Reporting. CAVEAT (from comments): fix applies to NEW data; historical records may need backfill.
70886,License Management -> ProductsService,License Parser description text,User Story,prod 26 May / 17 Jun,PUBLISHED-NEW,products.json (improved),reworded,REMAPPED to Products. Export over-generalized ('Product descriptions'); actually only License Parser desc.
71566,License Management -> Licenses,Grid header filters across SLM,User Story,prod 15-23 Jun,ALREADY-PUBLISHED,licenses.json 06.26 (improved),n/a,"Already published (single cross-SLM entry, as recommended)."
